what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.monitor.ui",1371581666528
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.tasks.ui",1371581666529
started,bundle,org.eclipse.mylyn.team.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.team.ui",1371581666531
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1371581666532
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1371581666533
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1371581666535
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1371581666536
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1371581666540
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1371581666542
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1371581666544
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1371581666545
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1371581666546
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1371581666547
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1371581666548
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1371581666549
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1371581666550
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1371581666552
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1371581666553
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1371581666553
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1371581666554
started,bundle,org.eclipse.amp.axf.core,0.9.0.v20110610-0008,"org.eclipse.amp.axf.core",1371581666554
started,bundle,org.eclipse.emf.examples.library,2.5.0.v20120130-0943,"org.eclipse.emf.examples.library",1371581666555
started,bundle,org.eclipse.emf.facet.widgets.nattable,0.1.2.v201202140823,"org.eclipse.emf.facet.widgets.nattable",1371581666556
started,bundle,org.eclipse.emf.validation.examples.adapter,1.2.0.v200901271722,"org.eclipse.emf.validation.examples.adapter",1371581666557
started,bundle,org.eclipse.m2m.atl.adt.ui,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt.ui",1371581666557
started,bundle,org.eclipse.papyrus.core,0.8.2.v201202150957,"org.eclipse.papyrus.core",1371581666557
started,bundle,org.eclipse.papyrus.diagram.common,0.8.2.v201202150957,"org.eclipse.papyrus.diagram.common",1371581666559
started,bundle,org.eclipse.papyrus.diagram.component,0.8.2.v201202150957,"org.eclipse.papyrus.diagram.component",1371581666559
started,bundle,org.eclipse.papyrus.diagram.composite,0.8.2.v201202150957,"org.eclipse.papyrus.diagram.composite",1371581666559
started,bundle,org.eclipse.papyrus.diagram.deployment,0.8.2.v201202150957,"org.eclipse.papyrus.diagram.deployment",1371581666559
started,bundle,org.eclipse.papyrus.diagram.menu,0.8.2.v201202150957,"org.eclipse.papyrus.diagram.menu",1371581666559
started,bundle,org.eclipse.papyrus.log,0.8.2.v201202150957,"org.eclipse.papyrus.log",1371581666560
started,bundle,org.eclipse.papyrus.modelexplorer,0.8.2.v201202150957,"org.eclipse.papyrus.modelexplorer",1371581666561
started,bundle,org.eclipse.papyrus.onefile,0.8.2.v201202150957,"org.eclipse.papyrus.onefile",1371581666562
started,bundle,org.eclipse.papyrus.preferences,0.8.2.v201202150957,"org.eclipse.papyrus.preferences",1371581666563
